Accuracy: 0.7330960854092526 Counts: Counter({(False, False): 384, (False, True): 86, (True, False): 64, (True, True): 28}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 455, (True, False): 87, (False, True): 15, (True, True): 5}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 455, (True, False): 87, (False, True): 15, (True, True): 5}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 455, (True, False): 87, (False, True): 15, (True, True): 5}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.7330960854092526 Counts: Counter({(False, False): 384, (False, True): 86, (True, False): 64, (True, True): 28}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7330960854092526 Counts: Counter({(False, False): 384, (False, True): 86, (True, False): 64, (True, True): 28}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 455, (True, False): 87, (False, True): 15, (True, True): 5}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8309608540925267 Counts: Counter({(False, False): 456, (True, False): 81, (False, True): 14, (True, True): 11}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8362989323843416 Counts: Counter({(False, False): 417, (True, True): 53, (False, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7330960854092526 Counts: Counter({(False, False): 384, (False, True): 86, (True, False): 64, (True, True): 28}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9039145907473309 Counts: Counter({(False, False): 453, (True, True): 55, (True, False): 37, (False, True): 17}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': False, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
